mu,l0,l1,l2
1.333333333333333481e+00,1.000000000000000000e+00,4.333333333333333925e+00,6.333333333333333925e+00
1.393939393939394034e+00,1.000000000000000000e+00,4.393939393939394478e+00,6.393939393939394478e+00
1.454545454545454586e+00,1.000000000000000000e+00,4.454545454545455030e+00,6.454545454545455030e+00
1.515151515151515138e+00,1.000000000000000000e+00,4.515151515151515582e+00,6.515151515151515582e+00
1.575757575757575690e+00,1.000000000000000000e+00,4.575757575757576134e+00,6.575757575757576134e+00
1.636363636363636465e+00,1.000000000000000000e+00,4.636363636363636687e+00,6.636363636363636687e+00
1.696969696969697017e+00,1.000000000000000000e+00,4.696969696969697239e+00,6.696969696969697239e+00
1.757575757575757569e+00,1.000000000000000000e+00,4.757575757575757791e+00,6.757575757575757791e+00
1.818181818181818343e+00,1.000000000000000000e+00,4.818181818181818343e+00,6.818181818181818343e+00
1.878787878787878896e+00,1.000000000000000000e+00,4.878787878787878896e+00,6.878787878787878896e+00
1.939393939393939448e+00,1.000000000000000000e+00,4.939393939393939448e+00,6.939393939393939448e+00
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00
2.060606060606060552e+00,1.000000000000000000e+00,5.060606060606060552e+00,7.060606060606060552e+00
2.121212121212121104e+00,1.000000000000000000e+00,5.121212121212121104e+00,7.121212121212121104e+00
2.181818181818181657e+00,1.000000000000000000e+00,5.181818181818181657e+00,7.181818181818181657e+00
2.242424242424242653e+00,1.000000000000000000e+00,5.242424242424242209e+00,7.242424242424242209e+00
2.303030303030303205e+00,1.000000000000000000e+00,5.303030303030302761e+00,7.303030303030302761e+00
2.363636363636363757e+00,1.000000000000000000e+00,5.363636363636363313e+00,7.363636363636363313e+00
2.424242424242424310e+00,1.000000000000000000e+00,5.424242424242423866e+00,7.424242424242423866e+00
2.484848484848484862e+00,1.000000000000000000e+00,5.484848484848484418e+00,7.484848484848484418e+00
2.545454545454545414e+00,1.000000000000000000e+00,5.545454545454544970e+00,7.545454545454544970e+00
2.606060606060605966e+00,1.000000000000000000e+00,5.606060606060605522e+00,7.606060606060605522e+00
2.666666666666666963e+00,1.000000000000000000e+00,5.666666666666666963e+00,7.666666666666666963e+00
2.727272727272727515e+00,1.000000000000000000e+00,5.727272727272727515e+00,7.727272727272727515e+00
2.787878787878788067e+00,1.000000000000000000e+00,5.787878787878788067e+00,7.787878787878788067e+00
2.848484848484848619e+00,1.000000000000000000e+00,5.848484848484848619e+00,7.848484848484848619e+00
2.909090909090909172e+00,1.000000000000000000e+00,5.909090909090909172e+00,7.909090909090909172e+00
2.969696969696969724e+00,1.000000000000000000e+00,5.969696969696969724e+00,7.969696969696969724e+00
3.030303030303030276e+00,1.000000000000000000e+00,6.030303030303030276e+00,8.030303030303031164e+00
3.090909090909090828e+00,1.000000000000000000e+00,6.090909090909090828e+00,8.090909090909089940e+00
3.151515151515151381e+00,1.000000000000000000e+00,6.151515151515151381e+00,8.151515151515152269e+00
3.212121212121212377e+00,1.000000000000000000e+00,6.212121212121212821e+00,8.212121212121212821e+00
3.272727272727272929e+00,1.000000000000000000e+00,6.272727272727273373e+00,8.272727272727273373e+00
3.333333333333333481e+00,1.000000000000000000e+00,6.333333333333333925e+00,8.333333333333333925e+00
3.393939393939394034e+00,1.000000000000000000e+00,6.393939393939394478e+00,8.393939393939394478e+00
3.454545454545454586e+00,1.000000000000000000e+00,6.454545454545455030e+00,8.454545454545455030e+00
3.515151515151515138e+00,1.000000000000000000e+00,6.515151515151515582e+00,8.515151515151515582e+00
3.575757575757575690e+00,1.000000000000000000e+00,6.575757575757576134e+00,8.575757575757576134e+00
3.636363636363636687e+00,1.000000000000000000e+00,6.636363636363636687e+00,8.636363636363636687e+00
3.696969696969697239e+00,1.000000000000000000e+00,6.696969696969697239e+00,8.696969696969697239e+00
3.757575757575757791e+00,1.000000000000000000e+00,6.757575757575757791e+00,8.757575757575757791e+00
3.818181818181818343e+00,1.000000000000000000e+00,6.818181818181818343e+00,8.818181818181818343e+00
3.878787878787878896e+00,1.000000000000000000e+00,6.878787878787878896e+00,8.878787878787878896e+00
3.939393939393939448e+00,1.000000000000000000e+00,6.939393939393939448e+00,8.939393939393939448e+00
4.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00
4.060606060606060552e+00,1.000000000000000000e+00,7.060606060606060552e+00,9.060606060606060552e+00
4.121212121212121104e+00,1.000000000000000000e+00,7.121212121212121104e+00,9.121212121212121104e+00
4.181818181818181657e+00,1.000000000000000000e+00,7.181818181818181657e+00,9.181818181818181657e+00
4.242424242424242209e+00,1.000000000000000000e+00,7.242424242424242209e+00,9.242424242424242209e+00
4.303030303030302761e+00,1.000000000000000000e+00,7.303030303030302761e+00,9.303030303030302761e+00
4.363636363636363313e+00,1.000000000000000000e+00,7.363636363636363313e+00,9.363636363636363313e+00
4.424242424242424754e+00,1.000000000000000000e+00,7.424242424242424754e+00,9.424242424242425642e+00
4.484848484848485306e+00,1.000000000000000000e+00,7.484848484848485306e+00,9.484848484848484418e+00
