t,mode0,mode1,mode2
6.515151515151514916e-01,1.000000000000000000e+00,2.005872798272161084e-02,5.450100598040996322e-03
6.666666666666667407e-01,9.999999999999997780e-01,1.831563888873419602e-02,4.827949993831490844e-03
6.818181818181818787e-01,1.000000000000000222e+00,1.672402298847037658e-02,4.276820349208878581e-03
6.969696969696970168e-01,1.000000000000000000e+00,1.527071736989326842e-02,3.788604339891017345e-03
7.121212121212121549e-01,1.000000000000000222e+00,1.394370296859373526e-02,3.356120124825058039e-03
7.272727272727272929e-01,1.000000000000000222e+00,1.273200516824988908e-02,2.973005698605020973e-03
7.424242424242424310e-01,1.000000000000000000e+00,1.162560303883846541e-02,2.633625303980261650e-03
7.575757575757575690e-01,1.000000000000000222e+00,1.061534646197675319e-02,2.332986527748592224e-03
7.727272727272727071e-01,1.000000000000000222e+00,9.692880458015409526e-03,2.066666860479298481e-03
7.878787878787878451e-01,1.000000000000000000e+00,8.850576089051946996e-03,1.830748639737861958e-03
8.030303030303030942e-01,9.999999999999998890e-01,8.081467366424288645e-03,1.621761419797952903e-03
8.181818181818182323e-01,1.000000000000000222e+00,7.379193640893739158e-03,1.436630920081048181e-03
8.333333333333333703e-01,9.999999999999998890e-01,6.737946999085596238e-03,1.272633801332005753e-03
8.484848484848485084e-01,1.000000000000000222e+00,6.152424231136809432e-03,1.127357604274814920e-03
8.636363636363636465e-01,9.999999999999998890e-01,5.617782972323463915e-03,9.986652614313864477e-04
8.787878787878787845e-01,1.000000000000000222e+00,5.129601655946738892e-03,8.846636600517023647e-04
8.939393939393939226e-01,9.999999999999998890e-01,4.683842946287567963e-03,7.836757937186311380e-04
9.090909090909091717e-01,9.999999999999997780e-01,4.276820349208646996e-03,6.942160929482359090e-04
9.242424242424243097e-01,1.000000000000000222e+00,3.905167724272786463e-03,6.149685719061912664e-04
9.393939393939394478e-01,9.999999999999996669e-01,3.565811446235876269e-03,5.447674697614239168e-04
9.545454545454545858e-01,9.999999999999998890e-01,3.255944985684875066e-03,4.825801019057058020e-04
9.696969696969697239e-01,1.000000000000000000e+00,2.973005698604504893e-03,4.274916687735644716e-04
9.848484848484848619e-01,1.000000000000000000e+00,2.714653632906152865e-03,3.786917987984010246e-04
1.000000000000000000e+00,1.000000000000000000e+00,2.478752176664183581e-03,3.354626275402974715e-04
1.015151515151515138e+00,1.000000000000000222e+00,2.263350387997101372e-03,2.971682376303938218e-04
1.030303030303030276e+00,9.999999999999995559e-01,2.066666860476300011e-03,2.632453041874275299e-04
1.045454545454545414e+00,9.999999999999998890e-01,1.887074990616020723e-03,2.331948080959922117e-04
1.060606060606060552e+00,9.999999999999996669e-01,1.723089525606879982e-03,2.065746952468845092e-04
1.075757575757575690e+00,1.000000000000000222e+00,1.573354280046458577e-03,1.829933737555971380e-04
1.090909090909090828e+00,9.999999999999998890e-01,1.436630920071400299e-03,1.621039534963036714e-04
1.106060606060606188e+00,9.999999999999997780e-01,1.311788722144097488e-03,1.435991432172784824e-04
1.121212121212121327e+00,1.000000000000000444e+00,1.197795221791971921e-03,1.272067301708619124e-04
1.136363636363636465e+00,9.999999999999997780e-01,1.093707674966576089e-03,1.126855757580385046e-04
1.151515151515151603e+00,9.999999999999997780e-01,9.986652614006332699e-04,9.982206829084949110e-05
1.166666666666666741e+00,1.000000000000000222e+00,9.118819654918275657e-04,8.842698067958252705e-05
1.181818181818181879e+00,9.999999999999996669e-01,8.326400758301625129e-04,7.833268682993649323e-05
1.196969696969697017e+00,1.000000000000000000e+00,7.602842497212128521e-04,6.939070898174205999e-05
1.212121212121212155e+00,9.999999999999997780e-01,6.942160929985612128e-04,6.146948427351404812e-05
1.227272727272727293e+00,9.999999999999996669e-01,6.338892117716598889e-04,5.445249878980364935e-05
1.242424242424242431e+00,1.000000000000000222e+00,5.788046933122997523e-04,4.823653003595124292e-05
1.257575757575757569e+00,1.000000000000000444e+00,5.285069800509994324e-04,4.273013877454317984e-05
1.272727272727272707e+00,9.999999999999997780e-01,4.825801020447338598e-04,3.785232391988133793e-05
1.287878787878787845e+00,9.999999999999997780e-01,4.406442368406205930e-04,3.353133098152049913e-05
1.303030303030302983e+00,1.000000000000000000e+00,4.023525682848189686e-04,2.970359652876682972e-05
1.318181818181818121e+00,1.000000000000000000e+00,3.673884182988732005e-04,2.631281314869161143e-05
1.333333333333333481e+00,9.999999999999997780e-01,3.354626279025125037e-04,2.330910114293750058e-05
1.348484848484848619e+00,9.999999999999995559e-01,3.063111658237104235e-04,2.064827477858041232e-05
1.363636363636363757e+00,1.000000000000000444e+00,2.796929449188856006e-04,1.829119229940715308e-05
1.378787878787878896e+00,9.999999999999997780e-01,2.553878283445376964e-04,1.620318013594800497e-05
1.393939393939394034e+00,1.000000000000000000e+00,2.331948089911599679e-04,1.435352284424105134e-05
1.409090909090909172e+00,9.999999999999998890e-01,2.129303471231404083e-04,1.271501127010882153e-05
1.424242424242424310e+00,1.000000000000000222e+00,1.944268524763697258e-04,1.126354229225576194e-05
1.439393939393939448e+00,1.000000000000000222e+00,1.775312982606789636e-04,9.977764256307610535e-06
1.454545454545454586e+00,1.000000000000000222e+00,1.621039556043418620e-04,8.838762883937929018e-06
1.469696969696969724e+00,1.000000000000000222e+00,1.480172379745132126e-04,7.829783036724398523e-06
1.484848484848484862e+00,1.000000000000000000e+00,1.351546460166501548e-04,6.935982241765126149e-06
1.500000000000000000e+00,1.000000000000000222e+00,1.234098040866781789e-04,6.144212353323838269e-06
