record_type,seed,baseline_forgetting,projected_forgetting,absolute_reduction,percent_reduction,baseline_plasticity,projected_plasticity,plasticity_delta,n_runs,baseline_forgetting_mean,baseline_forgetting_std,projected_forgetting_mean,projected_forgetting_std,absolute_reduction_mean,percent_reduction_mean,baseline_plasticity_mean,baseline_plasticity_std,projected_plasticity_mean,projected_plasticity_std,plasticity_delta_mean
run,0,0.12809999287128448,0.10170000046491623,0.026399992406368256,20.60889434814453,0.7921000123023987,0.7814000248908997,-0.010699987411499023,,,,,,,,,,,,
run,1,0.11429999768733978,0.08980000019073486,0.02449999749660492,21.4348201751709,0.7889999747276306,0.7788000106811523,-0.010199964046478271,,,,,,,,,,,,
run,2,0.12150000035762787,0.09309999644756317,0.028400003910064697,23.374488830566406,0.7942000031471252,0.7839000225067139,-0.010299980640411377,,,,,,,,,,,,
run,3,0.10920000076293945,0.08659999817609787,0.022600002586841583,20.695972442626953,0.7885000109672546,0.7775999903678894,-0.010900020599365234,,,,,,,,,,,,
run,4,0.11779999732971191,0.09269999712705612,0.025100000202655792,21.307300567626953,0.7915999889373779,0.781000018119812,-0.010599970817565918,,,,,,,,,,,,
run,5,0.13040000200271606,0.10350000113248825,0.026900000870227814,20.628833770751953,0.7932999730110168,0.7821000218391418,-0.011199951171875,,,,,,,,,,,,
run,6,0.11169999837875366,0.08730000257492065,0.024399995803833008,21.844223022460938,0.7897999882698059,0.7791000008583069,-0.010699987411499023,,,,,,,,,,,,
run,7,0.11890000104904175,0.09459999948740005,0.024300001561641693,20.43734359741211,0.7908999919891357,0.7802000045776367,-0.010699987411499023,,,,,,,,,,,,
run,8,0.10760000348091125,0.08470000326633453,0.02290000021457672,21.28252601623535,0.7878999710083008,0.7767999768257141,-0.01109999418258667,,,,,,,,,,,,
run,9,0.12359999865293503,0.09809999912977219,0.025499999523162842,20.631067276000977,0.7950999736785889,0.7839999794960022,-0.01109999418258667,,,,,,,,,,,,
run,10,0.1128000020980835,0.09040000289678574,0.02239999920129776,19.858156204223633,0.7893999814987183,0.7786999940872192,-0.010699987411499023,,,,,,,,,,,,
run,11,0.11569999903440475,0.08649999648332596,0.029200002551078796,25.237686157226562,0.7882000207901001,0.7774999737739563,-0.010700047016143799,,,,,,,,,,,,
summary,,,,,,,,,12,0.11763333529233932,0.007198020815849304,0.0924166738986969,0.006120878271758556,0.025216665118932724,21.445110321044922,0.7908334136009216,0.002436213893815875,0.7800917029380798,0.0024254275485873222,-0.01074165664613247
